Item_name, Price, Quantity, Game
Shattered Web Case,$0.67 USD,62172,Counter-Strike: Global Offensive
Spectrum 2 Case,$0.06 USD,692598,Counter-Strike: Global Offensive
Operation Breakout Weapon Case,$0.59 USD,73004,Counter-Strike: Global Offensive
Spectrum Case,$0.15 USD,308855,Counter-Strike: Global Offensive
Danger Zone Case,$0.11 USD,205750,Counter-Strike: Global Offensive
Glove Case,$0.19 USD,179662,Counter-Strike: Global Offensive
Sticker | Gold Web (Foil),$4.42 USD,1475,Counter-Strike: Global Offensive
PGC 2019 - M416,$22.42 USD,959,PLAYERUNKNOWN'S BATTLEGROUNDS
Clutch Case,$0.06 USD,759955,Counter-Strike: Global Offensive
Mann Co. Supply Crate Key,$2.27 USD,6013,Team Fortress 2
Shattered Web Case,$0.67 USD,62172,Counter-Strike: Global Offensive
Spectrum 2 Case,$0.06 USD,692591,Counter-Strike: Global Offensive
Operation Breakout Weapon Case,$0.59 USD,73004,Counter-Strike: Global Offensive
Spectrum Case,$0.15 USD,308855,Counter-Strike: Global Offensive
Danger Zone Case,$0.11 USD,205750,Counter-Strike: Global Offensive
Glove Case,$0.19 USD,179660,Counter-Strike: Global Offensive
Sticker | Gold Web (Foil),$4.42 USD,1475,Counter-Strike: Global Offensive
PGC 2019 - M416,$22.42 USD,959,PLAYERUNKNOWN'S BATTLEGROUNDS
Clutch Case,$0.06 USD,759953,Counter-Strike: Global Offensive
Mann Co. Supply Crate Key,$2.27 USD,6013,Team Fortress 2
Shattered Web Case,$0.67 USD,62173,Counter-Strike: Global Offensive
Spectrum 2 Case,$0.06 USD,692577,Counter-Strike: Global Offensive
Operation Breakout Weapon Case,$0.59 USD,73006,Counter-Strike: Global Offensive
Spectrum Case,$0.15 USD,308855,Counter-Strike: Global Offensive
Danger Zone Case,$0.11 USD,205749,Counter-Strike: Global Offensive
Glove Case,$0.19 USD,179659,Counter-Strike: Global Offensive
Sticker | Gold Web (Foil),$4.42 USD,1475,Counter-Strike: Global Offensive
PGC 2019 - M416,$22.42 USD,959,PLAYERUNKNOWN'S BATTLEGROUNDS
Clutch Case,$0.06 USD,759956,Counter-Strike: Global Offensive
Mann Co. Supply Crate Key,$2.27 USD,6013,Team Fortress 2
